timestamp,well_id,css_cycle_id,position_in,load_kN
2023-02-01,BGW-001,BGW-001-C1,0.0,19.11
2023-02-01,BGW-001,BGW-001-C1,0.78,18.38
2023-02-01,BGW-001,BGW-001-C1,1.56,18.7
2023-02-01,BGW-001,BGW-001-C1,2.33,18.38
2023-02-01,BGW-001,BGW-001-C1,3.11,18.45
2023-02-01,BGW-001,BGW-001-C1,3.89,18.92
2023-02-01,BGW-001,BGW-001-C1,4.67,19.07
2023-02-01,BGW-001,BGW-001-C1,5.45,19.49
2023-02-01,BGW-001,BGW-001-C1,6.22,18.58
2023-02-01,BGW-001,BGW-001-C1,7.0,18.99
2023-02-01,BGW-001,BGW-001-C1,7.78,19.22
2023-02-01,BGW-001,BGW-001-C1,8.56,19.66
2023-02-01,BGW-001,BGW-001-C1,9.34,19.28
2023-02-01,BGW-001,BGW-001-C1,10.11,19.82
2023-02-01,BGW-001,BGW-001-C1,10.89,19.72
2023-02-01,BGW-001,BGW-001-C1,11.67,20.05
2023-02-01,BGW-001,BGW-001-C1,12.45,19.93
2023-02-01,BGW-001,BGW-001-C1,13.22,19.96
2023-02-01,BGW-001,BGW-001-C1,14.0,20.61
2023-02-01,BGW-001,BGW-001-C1,14.78,21.07
2023-02-01,BGW-001,BGW-001-C1,15.56,21.08
2023-02-01,BGW-001,BGW-001-C1,16.34,21.33
2023-02-01,BGW-001,BGW-001-C1,17.11,21.51
2023-02-01,BGW-001,BGW-001-C1,17.89,21.08
2023-02-01,BGW-001,BGW-001-C1,18.67,22.03
2023-02-01,BGW-001,BGW-001-C1,19.45,21.71
2023-02-01,BGW-001,BGW-001-C1,20.23,21.16
2023-02-01,BGW-001,BGW-001-C1,21.0,21.4
2023-02-01,BGW-001,BGW-001-C1,21.78,21.86
2023-02-01,BGW-001,BGW-001-C1,22.56,22.28
2023-02-01,BGW-001,BGW-001-C1,23.34,21.97
2023-02-01,BGW-001,BGW-001-C1,24.12,21.8
2023-02-01,BGW-001,BGW-001-C1,24.89,22.63
2023-02-01,BGW-001,BGW-001-C1,25.67,22.0
2023-02-01,BGW-001,BGW-001-C1,26.45,22.69
2023-02-01,BGW-001,BGW-001-C1,27.23,22.71
2023-02-01,BGW-001,BGW-001-C1,28.01,22.28
2023-02-01,BGW-001,BGW-001-C1,28.78,23.65
2023-02-01,BGW-001,BGW-001-C1,29.56,23.06
2023-02-01,BGW-001,BGW-001-C1,30.34,22.7
2023-02-01,BGW-001,BGW-001-C1,31.12,23.31
2023-02-01,BGW-001,BGW-001-C1,31.9,22.71
2023-02-01,BGW-001,BGW-001-C1,32.67,23.65
2023-02-01,BGW-001,BGW-001-C1,33.45,23.96
2023-02-01,BGW-001,BGW-001-C1,34.23,24.81
2023-02-01,BGW-001,BGW-001-C1,35.01,23.87
2023-02-01,BGW-001,BGW-001-C1,35.79,23.67
2023-02-01,BGW-001,BGW-001-C1,36.56,24.11
2023-02-01,BGW-001,BGW-001-C1,37.34,24.7
2023-02-01,BGW-001,BGW-001-C1,38.12,24.42
2023-02-01,BGW-001,BGW-001-C1,38.9,24.64
2023-02-01,BGW-001,BGW-001-C1,39.67,24.7
2023-02-01,BGW-001,BGW-001-C1,40.45,24.68
2023-02-01,BGW-001,BGW-001-C1,41.23,24.0
2023-02-01,BGW-001,BGW-001-C1,42.01,24.05
2023-02-01,BGW-001,BGW-001-C1,42.79,24.08
2023-02-01,BGW-001,BGW-001-C1,43.56,24.3
2023-02-01,BGW-001,BGW-001-C1,44.34,24.41
2023-02-01,BGW-001,BGW-001-C1,45.12,25.65
2023-02-01,BGW-001,BGW-001-C1,45.9,24.68
2023-02-01,BGW-001,BGW-001-C1,46.68,25.06
2023-02-01,BGW-001,BGW-001-C1,47.45,24.98
2023-02-01,BGW-001,BGW-001-C1,48.23,25.2
2023-02-01,BGW-001,BGW-001-C1,49.01,25.19
2023-02-01,BGW-001,BGW-001-C1,49.79,24.7
2023-02-01,BGW-001,BGW-001-C1,50.57,25.48
2023-02-01,BGW-001,BGW-001-C1,51.34,25.0
2023-02-01,BGW-001,BGW-001-C1,52.12,25.02
2023-02-01,BGW-001,BGW-001-C1,52.9,25.2
2023-02-01,BGW-001,BGW-001-C1,53.68,25.67
2023-02-01,BGW-001,BGW-001-C1,54.46,25.11
2023-02-01,BGW-001,BGW-001-C1,55.23,25.41
2023-02-01,BGW-001,BGW-001-C1,56.01,25.54
2023-02-01,BGW-001,BGW-001-C1,56.79,25.49
2023-02-01,BGW-001,BGW-001-C1,57.57,25.46
2023-02-01,BGW-001,BGW-001-C1,58.35,24.82
2023-02-01,BGW-001,BGW-001-C1,59.12,25.42
2023-02-01,BGW-001,BGW-001-C1,59.9,24.99
2023-02-01,BGW-001,BGW-001-C1,60.68,24.64
2023-02-01,BGW-001,BGW-001-C1,61.46,25.13
2023-02-01,BGW-001,BGW-001-C1,62.23,25.08
2023-02-01,BGW-001,BGW-001-C1,63.01,26.45
2023-02-01,BGW-001,BGW-001-C1,63.79,25.62
2023-02-01,BGW-001,BGW-001-C1,64.57,25.51
2023-02-01,BGW-001,BGW-001-C1,65.35,24.99
2023-02-01,BGW-001,BGW-001-C1,66.12,25.03
2023-02-01,BGW-001,BGW-001-C1,66.9,26.08
2023-02-01,BGW-001,BGW-001-C1,67.68,24.75
2023-02-01,BGW-001,BGW-001-C1,68.46,25.05
2023-02-01,BGW-001,BGW-001-C1,69.24,25.62
2023-02-01,BGW-001,BGW-001-C1,70.01,24.53
2023-02-01,BGW-001,BGW-001-C1,70.79,24.81
2023-02-01,BGW-001,BGW-001-C1,71.57,24.67
2023-02-01,BGW-001,BGW-001-C1,72.35,24.25
2023-02-01,BGW-001,BGW-001-C1,73.13,24.84
2023-02-01,BGW-001,BGW-001-C1,73.9,24.0
2023-02-01,BGW-001,BGW-001-C1,74.68,24.67
2023-02-01,BGW-001,BGW-001-C1,75.46,24.44
2023-02-01,BGW-001,BGW-001-C1,76.24,24.54
2023-02-01,BGW-001,BGW-001-C1,77.02,24.01
2023-02-01,BGW-001,BGW-001-C1,77.79,24.15
2023-02-01,BGW-001,BGW-001-C1,78.57,24.3
2023-02-01,BGW-001,BGW-001-C1,79.35,23.23
2023-02-01,BGW-001,BGW-001-C1,80.13,23.2
2023-02-01,BGW-001,BGW-001-C1,80.91,23.81
2023-02-01,BGW-001,BGW-001-C1,81.68,23.8
2023-02-01,BGW-001,BGW-001-C1,82.46,23.41
2023-02-01,BGW-001,BGW-001-C1,83.24,23.61
2023-02-01,BGW-001,BGW-001-C1,84.02,22.98
2023-02-01,BGW-001,BGW-001-C1,84.79,23.52
2023-02-01,BGW-001,BGW-001-C1,85.57,22.86
2023-02-01,BGW-001,BGW-001-C1,86.35,22.46
2023-02-01,BGW-001,BGW-001-C1,87.13,23.22
2023-02-01,BGW-001,BGW-001-C1,87.91,22.85
2023-02-01,BGW-001,BGW-001-C1,88.68,22.22
2023-02-01,BGW-001,BGW-001-C1,89.46,22.1
2023-02-01,BGW-001,BGW-001-C1,90.24,22.38
2023-02-01,BGW-001,BGW-001-C1,91.02,21.61
2023-02-01,BGW-001,BGW-001-C1,91.8,22.01
2023-02-01,BGW-001,BGW-001-C1,92.57,21.69
2023-02-01,BGW-001,BGW-001-C1,93.35,21.71
2023-02-01,BGW-001,BGW-001-C1,94.13,20.68
2023-02-01,BGW-001,BGW-001-C1,94.91,21.0
2023-02-01,BGW-001,BGW-001-C1,95.69,21.33
2023-02-01,BGW-001,BGW-001-C1,96.46,21.52
2023-02-01,BGW-001,BGW-001-C1,97.24,20.91
2023-02-01,BGW-001,BGW-001-C1,98.02,21.12
2023-02-01,BGW-001,BGW-001-C1,98.8,20.11
2023-02-01,BGW-001,BGW-001-C1,99.58,20.39
2023-02-01,BGW-001,BGW-001-C1,100.35,20.56
2023-02-01,BGW-001,BGW-001-C1,101.13,20.29
2023-02-01,BGW-001,BGW-001-C1,101.91,20.49
2023-02-01,BGW-001,BGW-001-C1,102.69,19.96
2023-02-01,BGW-001,BGW-001-C1,103.47,19.84
2023-02-01,BGW-001,BGW-001-C1,104.24,20.07
2023-02-01,BGW-001,BGW-001-C1,105.02,19.47
2023-02-01,BGW-001,BGW-001-C1,105.8,19.2
2023-02-01,BGW-001,BGW-001-C1,106.58,19.63
2023-02-01,BGW-001,BGW-001-C1,107.36,18.94
2023-02-01,BGW-001,BGW-001-C1,108.13,19.78
2023-02-01,BGW-001,BGW-001-C1,108.91,18.36
2023-02-01,BGW-001,BGW-001-C1,109.69,18.87
2023-02-01,BGW-001,BGW-001-C1,110.47,19.53
2023-02-01,BGW-001,BGW-001-C1,111.24,19.56
2023-02-01,BGW-001,BGW-001-C1,112.02,18.63
2023-02-01,BGW-001,BGW-001-C1,112.8,19.0
2023-02-01,BGW-001,BGW-001-C1,113.58,18.77
2023-02-01,BGW-001,BGW-001-C1,114.36,18.17
2023-02-01,BGW-001,BGW-001-C1,115.13,18.46
2023-02-01,BGW-001,BGW-001-C1,115.91,17.83
2023-02-01,BGW-001,BGW-001-C1,116.69,17.47
2023-02-01,BGW-001,BGW-001-C1,117.47,18.21
2023-02-01,BGW-001,BGW-001-C1,118.25,18.15
2023-02-01,BGW-001,BGW-001-C1,119.02,17.37
2023-02-01,BGW-001,BGW-001-C1,119.8,17.71
2023-02-01,BGW-001,BGW-001-C1,120.58,17.22
2023-02-01,BGW-001,BGW-001-C1,121.36,17.44
2023-02-01,BGW-001,BGW-001-C1,122.14,17.39
2023-02-01,BGW-001,BGW-001-C1,122.91,17.8
2023-02-01,BGW-001,BGW-001-C1,123.69,17.25
2023-02-01,BGW-001,BGW-001-C1,124.47,16.89
2023-02-01,BGW-001,BGW-001-C1,125.25,18.03
2023-02-01,BGW-001,BGW-001-C1,126.03,17.49
2023-02-01,BGW-001,BGW-001-C1,126.8,17.61
2023-02-01,BGW-001,BGW-001-C1,127.58,17.46
2023-02-01,BGW-001,BGW-001-C1,128.36,17.56
2023-02-01,BGW-001,BGW-001-C1,129.14,17.33
2023-02-01,BGW-001,BGW-001-C1,129.92,17.31
2023-02-01,BGW-001,BGW-001-C1,130.69,17.15
2023-02-01,BGW-001,BGW-001-C1,131.47,16.91
2023-02-01,BGW-001,BGW-001-C1,132.25,17.43
2023-02-01,BGW-001,BGW-001-C1,133.03,16.96
2023-02-01,BGW-001,BGW-001-C1,133.8,17.1
2023-02-01,BGW-001,BGW-001-C1,134.58,17.2
2023-02-01,BGW-001,BGW-001-C1,135.36,17.24
2023-02-01,BGW-001,BGW-001-C1,136.14,16.66
2023-02-01,BGW-001,BGW-001-C1,136.92,17.16
2023-02-01,BGW-001,BGW-001-C1,137.69,16.68
2023-02-01,BGW-001,BGW-001-C1,138.47,17.18
2023-02-01,BGW-001,BGW-001-C1,139.25,17.45
2023-02-01,BGW-001,BGW-001-C1,140.03,17.88
2023-02-01,BGW-001,BGW-001-C1,140.81,17.42
2023-02-01,BGW-001,BGW-001-C1,141.58,17.58
2023-02-01,BGW-001,BGW-001-C1,142.36,16.83
2023-02-01,BGW-001,BGW-001-C1,143.14,17.53
2023-02-01,BGW-001,BGW-001-C1,143.92,16.91
2023-02-01,BGW-001,BGW-001-C1,144.7,17.89
2023-02-01,BGW-001,BGW-001-C1,145.47,17.04
2023-02-01,BGW-001,BGW-001-C1,146.25,17.13
2023-02-01,BGW-001,BGW-001-C1,147.03,17.89
2023-02-01,BGW-001,BGW-001-C1,147.81,18.33
2023-02-01,BGW-001,BGW-001-C1,148.59,18.15
2023-02-01,BGW-001,BGW-001-C1,149.36,17.66
2023-02-01,BGW-001,BGW-001-C1,150.14,17.48
2023-02-01,BGW-001,BGW-001-C1,150.92,17.78
2023-02-01,BGW-001,BGW-001-C1,151.7,18.09
2023-02-01,BGW-001,BGW-001-C1,152.48,18.09
2023-02-01,BGW-001,BGW-001-C1,153.25,17.8
2023-02-01,BGW-001,BGW-001-C1,154.03,18.82
2023-02-01,BGW-001,BGW-001-C1,154.81,18.92
2023-02-08,BGW-001,BGW-001-C1,0.0,25.5
2023-02-08,BGW-001,BGW-001-C1,0.79,25.51
2023-02-08,BGW-001,BGW-001-C1,1.58,25.53
2023-02-08,BGW-001,BGW-001-C1,2.37,25.66
2023-02-08,BGW-001,BGW-001-C1,3.16,27.05
2023-02-08,BGW-001,BGW-001-C1,3.95,25.85
2023-02-08,BGW-001,BGW-001-C1,4.74,25.97
2023-02-08,BGW-001,BGW-001-C1,5.53,26.3
2023-02-08,BGW-001,BGW-001-C1,6.32,27.02
2023-02-08,BGW-001,BGW-001-C1,7.11,27.01
2023-02-08,BGW-001,BGW-001-C1,7.9,27.45
2023-02-08,BGW-001,BGW-001-C1,8.69,27.17
2023-02-08,BGW-001,BGW-001-C1,9.49,27.65
2023-02-08,BGW-001,BGW-001-C1,10.28,27.8
2023-02-08,BGW-001,BGW-001-C1,11.07,28.56
2023-02-08,BGW-001,BGW-001-C1,11.86,28.79
2023-02-08,BGW-001,BGW-001-C1,12.65,28.17
2023-02-08,BGW-001,BGW-001-C1,13.44,28.71
2023-02-08,BGW-001,BGW-001-C1,14.23,28.58
2023-02-08,BGW-001,BGW-001-C1,15.02,28.96
2023-02-08,BGW-001,BGW-001-C1,15.81,28.94
2023-02-08,BGW-001,BGW-001-C1,16.6,29.2
2023-02-08,BGW-001,BGW-001-C1,17.39,29.38
2023-02-08,BGW-001,BGW-001-C1,18.18,29.32
2023-02-08,BGW-001,BGW-001-C1,18.97,29.32
2023-02-08,BGW-001,BGW-001-C1,19.76,29.79
2023-02-08,BGW-001,BGW-001-C1,20.55,29.43
2023-02-08,BGW-001,BGW-001-C1,21.34,29.35
2023-02-08,BGW-001,BGW-001-C1,22.13,29.05
2023-02-08,BGW-001,BGW-001-C1,22.92,29.93
2023-02-08,BGW-001,BGW-001-C1,23.71,30.12
2023-02-08,BGW-001,BGW-001-C1,24.5,29.24
2023-02-08,BGW-001,BGW-001-C1,25.29,29.75
2023-02-08,BGW-001,BGW-001-C1,26.08,30.37
2023-02-08,BGW-001,BGW-001-C1,26.88,30.07
2023-02-08,BGW-001,BGW-001-C1,27.67,30.21
2023-02-08,BGW-001,BGW-001-C1,28.46,30.6
2023-02-08,BGW-001,BGW-001-C1,29.25,30.24
2023-02-08,BGW-001,BGW-001-C1,30.04,30.47
2023-02-08,BGW-001,BGW-001-C1,30.83,29.92
2023-02-08,BGW-001,BGW-001-C1,31.62,30.52
2023-02-08,BGW-001,BGW-001-C1,32.41,29.86
2023-02-08,BGW-001,BGW-001-C1,33.2,29.89
2023-02-08,BGW-001,BGW-001-C1,33.99,30.22
2023-02-08,BGW-001,BGW-001-C1,34.78,30.64
2023-02-08,BGW-001,BGW-001-C1,35.57,30.44
2023-02-08,BGW-001,BGW-001-C1,36.36,30.1
2023-02-08,BGW-001,BGW-001-C1,37.15,30.75
2023-02-08,BGW-001,BGW-001-C1,37.94,30.5
2023-02-08,BGW-001,BGW-001-C1,38.73,30.77
2023-02-08,BGW-001,BGW-001-C1,39.52,29.96
2023-02-08,BGW-001,BGW-001-C1,40.31,30.85
2023-02-08,BGW-001,BGW-001-C1,41.1,30.86
2023-02-08,BGW-001,BGW-001-C1,41.89,30.54
2023-02-08,BGW-001,BGW-001-C1,42.68,30.32
2023-02-08,BGW-001,BGW-001-C1,43.47,30.26
2023-02-08,BGW-001,BGW-001-C1,44.26,30.13
2023-02-08,BGW-001,BGW-001-C1,45.06,29.37
